
           STOCK REFILL REPORT

Transaction Date From: 16/04/2022 
________________________________________________________
Product    Colour     Name             Size    Sold  SOH
115357     Black      Eva Capri        14         3    0
115357     Black      Eva Capri        16         4    0
115357     Black      Eva Capri        18         2    0
115357     ClassicNav Eva Capri        6          4    0
115357     ClassicNav Eva Capri        8          3    0
115357     ClassicNav Eva Capri        9          1    0
115357     ClassicNav Eva Capri        10         5    0
115357     ClassicNav Eva Capri        11         1    0
115357     ClassicNav Eva Capri        12         5    0
115357     ClassicNav Eva Capri        13         2    0
115357     ClassicNav Eva Capri        14         3    0
115357     ClassicNav Eva Capri        16         5    0
115357     Latte      Eva Capri        6          2    0
115357     Latte      Eva Capri        8          4    0
115357     Latte      Eva Capri        9          3    0
115357     Latte      Eva Capri        10         4    0
115357     Latte      Eva Capri        11         2    0
115357     Latte      Eva Capri        12         3    0
115357     Latte      Eva Capri        13         1    0
115357     Latte      Eva Capri        14         2    0
115357     Latte      Eva Capri        15         1    0
115357     Latte      Eva Capri        16         2    0
115358     Black      Eva Short        8          4    0
115358     Black      Eva Short        10         5    0
115358     Black      Eva Short        12         4    0
115358     Black      Eva Short        14         1    0
115358     Black      Eva Short        16         3    0
115358     Cappuccino Eva Short        8          3    0
115358     Cappuccino Eva Short        10         3    0
115358     Cappuccino Eva Short        12         5    0
115358     Cappuccino Eva Short        14         4    0
115358     Cappuccino Eva Short        16         3    0
115358     ClassicNav Eva Short        6          1    0
115358     ClassicNav Eva Short        8          3    0
115358     ClassicNav Eva Short        10         7    0
115358     ClassicNav Eva Short        12         8    0
115358     ClassicNav Eva Short        14         4    0
115358     ClassicNav Eva Short        16         3    0
115358     ClassicNav Eva Short        18         1    0
115358     Coast      Eva Short        10         1    0
115358     Coast      Eva Short        12         2    0
115359     Apple      Evie Capri       8          1    0
115359     Apple      Evie Capri       10         2    0
115359     Apple      Evie Capri       12         2    0
115359     Apple      Evie Capri       14         1    0
115359     Avocado    Evie Capri       8          2    0
115359     Avocado    Evie Capri       11         1    1
115359     Avocado    Evie Capri       12         2    0
115359     Avocado    Evie Capri       14         1    0
115359     Avocado    Evie Capri       16         1    0
115359     Belle Blue Evie Capri       10         1    0
115359     Belle Blue Evie Capri       11         2    0
115359     Black      Evie Capri       6         10    2
115359     Black      Evie Capri       8         26    2
115359     Black      Evie Capri       9         20    1
115359     Black      Evie Capri       10        30    2
115359     Black      Evie Capri       11        25    1
115359     Black      Evie Capri       12        25    2
115359     Black      Evie Capri       13         9    2
115359     Black      Evie Capri       14        15    2
115359     Black      Evie Capri       15         5    1
115359     Black      Evie Capri       16        12    2
115359     Black      Evie Capri       18         3    3
115359     Campari    Evie Capri       8          1    0
115359     Campari    Evie Capri       10         3    0
115359     Campari    Evie Capri       12         3    0
115359     Campari    Evie Capri       14         1    0
115359     Cappuccino Evie Capri       6          8    0
115359     Cappuccino Evie Capri       8         15    2
115359     Cappuccino Evie Capri       9         19    2
115359     Cappuccino Evie Capri       10        16    2
115359     Cappuccino Evie Capri       11        13    2
115359     Cappuccino Evie Capri       12        10    2
115359     Cappuccino Evie Capri       13         8    2
115359     Cappuccino Evie Capri       14        11    1
115359     Cappuccino Evie Capri       15         4    0
115359     Cappuccino Evie Capri       16         6    2
115359     Cappuccino Evie Capri       18         2    1
115359     ClassicNav Evie Capri       6         13    1
115359     ClassicNav Evie Capri       8         27    2
115359     ClassicNav Evie Capri       9         19    2
115359     ClassicNav Evie Capri       10        17    2
115359     ClassicNav Evie Capri       11        22    2
115359     ClassicNav Evie Capri       12        19    2
115359     ClassicNav Evie Capri       13         8    2
115359     ClassicNav Evie Capri       14        17    2
115359     ClassicNav Evie Capri       15        10    1
115359     ClassicNav Evie Capri       16        14    2
115359     ClassicNav Evie Capri       18         3    1
115359     Delft Blue Evie Capri       6          1    0
115359     Delft Blue Evie Capri       8          1    0
115359     Delft Blue Evie Capri       10         2    0
115359     Delft Blue Evie Capri       12         2    0
115359     Delft Blue Evie Capri       16         1    0
115359     Delft Blue Evie Capri       18         1    0
115359     Dk Khaki   Evie Capri       6          1    0
115359     Dk Khaki   Evie Capri       8          1    0
115359     Dk Khaki   Evie Capri       10         2    0
115359     Dk Khaki   Evie Capri       12         3    0
115359     Dk Khaki   Evie Capri       14         2    0
115359     Dk Khaki   Evie Capri       16         1    0
115359     Emerald    Evie Capri       6          3    0
115359     Emerald    Evie Capri       8          3    0
115359     Emerald    Evie Capri       10         5    0
115359     Emerald    Evie Capri       12         4    0
115359     Emerald    Evie Capri       14         4    0
115359     Emerald    Evie Capri       16         2    0
115359     Magenta    Evie Capri       6         -1    0
115359     Magenta    Evie Capri       10         1    0
115359     Milk       Evie Capri       8          1    0
115359     Milk       Evie Capri       9          1    0
115359     Milk       Evie Capri       10         3    0
115359     Milk       Evie Capri       14         2    0
115359     Orchid     Evie Capri       9          2    0
115359     Orchid     Evie Capri       10         1    0
115359     Orchid     Evie Capri       11         1    0
115359     Orchid     Evie Capri       16         1    0
115359     Pear       Evie Capri       8          2    0
115359     Pear       Evie Capri       9          1    0
115359     Pear       Evie Capri       10         2    0
115359     Pear       Evie Capri       11         1    0
115359     Pear       Evie Capri       18         1    0
115359     Pl Blue    Evie Capri       6          2    0
115359     Pl Blue    Evie Capri       9          1    0
115359     Pl Blue    Evie Capri       10         1    0
115359     Pl Blue    Evie Capri       11         1    0
115359     Pl Blue    Evie Capri       12         1    0
115359     Pl Blue    Evie Capri       14         1    0
115359     Plum       Evie Capri       6          1    0
115359     Plum       Evie Capri       8          2    0
115359     Plum       Evie Capri       10         2    0
115359     Plum       Evie Capri       12         2    0
115359     Plum       Evie Capri       14         1    0
115359     Plum       Evie Capri       18         1    0
115359     Regatta    Evie Capri       6          1    0
115359     Regatta    Evie Capri       8          2    0
115359     Regatta    Evie Capri       10         3    0
115359     Regatta    Evie Capri       12         1    0
115359     Regatta    Evie Capri       14         2    0
115359     Regatta    Evie Capri       16         1    0
115359     Sienna     Evie Capri       8          1    0
115359     Sienna     Evie Capri       9          1    0
115359     Sienna     Evie Capri       10         1    0
115359     Sienna     Evie Capri       11         1    0
115359     Sienna     Evie Capri       12         2    0
115359     Sienna     Evie Capri       13         1    0
115359     Sienna     Evie Capri       15         1    0
115359     Silver     Evie Capri       6          7    0
115359     Silver     Evie Capri       8         15    2
115359     Silver     Evie Capri       9         12    2
115359     Silver     Evie Capri       10        16    1
115359     Silver     Evie Capri       11        12    3
115359     Silver     Evie Capri       12        15    2
115359     Silver     Evie Capri       13         4    2
115359     Silver     Evie Capri       14         7    2
115359     Silver     Evie Capri       15         5    2
115359     Silver     Evie Capri       16         3    2
115359     Silver     Evie Capri       18         2    2
115359     Wine       Evie Capri       6          1    0
115359     Wine       Evie Capri       8          1    0
115359     Wine       Evie Capri       9          1    0
115359     Wine       Evie Capri       10         1    0
115359     Wine       Evie Capri       11         1    0
115359     Wine       Evie Capri       12         1    1
115359     Wine       Evie Capri       13         1    0
115359E    Black      Evie Capri       20         2    0
115359E    ClassicNav Evie Capri       20         2    0
115453     Candy      Alphine Silk Bl  M          3    0
