day,date,tender,value
Sunday,2022-08-28,Integrated EFTPOS,1639.35
Monday,2022-08-29,Birthday Voucher Refund,-20.0
Monday,2022-08-29,CASH,170.0
Monday,2022-08-29,Integrated EFTPOS,2014.69
Monday,2022-08-29,Mail Order Pickup,731.96
Tuesday,2022-08-30,Integrated EFTPOS,3726.68
Tuesday,2022-08-30,Mail Order Pickup,419.97
Tuesday,2022-08-30,PayPal,-149.0
Wednesday,2022-08-31,Integrated EFTPOS,2025.33
Thursday,2022-09-01,Integrated EFTPOS,2387.31
Friday,2022-09-02,Integrated EFTPOS,2185.27
Friday,2022-09-02,Mail Order Pickup,323.98
Saturday,2022-09-03,Gift Voucher,20.0
Saturday,2022-09-03,Integrated EFTPOS,5302.59
Sunday,2022-09-04,Gift Voucher,120.0
Sunday,2022-09-04,Integrated EFTPOS,3163.72
Monday,2022-09-05,Integrated EFTPOS,1473.89
Monday,2022-09-05,Mail Order Pickup,134.99
Tuesday,2022-09-06,CASH,139.0
Tuesday,2022-09-06,Gift Voucher,20.0
Tuesday,2022-09-06,Integrated EFTPOS,4514.29
Tuesday,2022-09-06,PayPal,-119.0
Wednesday,2022-09-07,Account,205.0
Wednesday,2022-09-07,CASH,169.0
Wednesday,2022-09-07,Integrated EFTPOS,3227.1
Wednesday,2022-09-07,Mail Order Pickup,204.99
Thursday,2022-09-08,CASH,107.0
Thursday,2022-09-08,Gift Voucher,40.0
Thursday,2022-09-08,Integrated EFTPOS,664.96
Thursday,2022-09-08,Mail Order Pickup,49.0
Friday,2022-09-09,Account,256.99
Friday,2022-09-09,CASH,139.0
Friday,2022-09-09,Gift Voucher,40.0
Friday,2022-09-09,Integrated EFTPOS,2906.87
Friday,2022-09-09,Mail Order Pickup,29.0
Saturday,2022-09-10,Account,49.0
Saturday,2022-09-10,Gift Voucher,20.0
Saturday,2022-09-10,Integrated EFTPOS,5558.25
Sunday,2022-09-11,Afterpay POS API Payment,-99.0
Sunday,2022-09-11,Gift Voucher,20.0
Sunday,2022-09-11,Integrated EFTPOS,4103.85
Monday,2022-09-12,CASH,87.0
Monday,2022-09-12,Integrated EFTPOS,1665.74
Monday,2022-09-12,Mail Order Pickup,58.0
Tuesday,2022-09-13,Gift Voucher,20.0
Tuesday,2022-09-13,Integrated EFTPOS,3018.8
Tuesday,2022-09-13,Mail Order Pickup,58.0
Wednesday,2022-09-14,Account,175.19
Wednesday,2022-09-14,CASH,23.2
Wednesday,2022-09-14,Gift Voucher,20.0
Wednesday,2022-09-14,Integrated EFTPOS,3363.99
Wednesday,2022-09-14,PayPal,-91.05
