department,markdown_id,markdown_description,date,style_code,description,colour,price,soh,price_history
Menswear,4227,SCW24FINALPP,11/04/2024,207347,LSR LENDEL SHIR,Multi,39,6,"{'79.00': ('24/08/2023', 'SCS24MSS'), '59.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4180,Nothing,16/01/2024,206531,BEDFORD JEAN,Henna,39,5,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('27/09/2023', 'SCS24FURTHERMDWK7'), '39.00': ('16/01/2024', 'Nothing')}"
Menswear,4227,SCW24FINALPP,11/04/2024,206616,GRAYSON STRAIGH,Raw Indigo,39,5,"{'89.00': ('31/08/2023', 'SCS23MSSNEW'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4227,SCW24FINALPP,11/04/2024,206864,GRAYSON STRAIGH,Lt Wash,39,5,"{'89.00': ('31/08/2023', 'SCS23MSSNEW'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4227,SCW24FINALPP,11/04/2024,207347,LSR LENDEL SHIR,Blue/Multi,39,5,"{'79.00': ('24/08/2023', 'SCS24MSS'), '59.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4227,SCW24FINALPP,11/04/2024,207446,LSL CHECK LINEN,Blue,39,5,"{'69.00': ('06/03/2024', 'SCW24MSS'), '49.00': ('13/03/2024', 'SCW24MSSNEWFUR'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4227,SCW24FINALPP,11/04/2024,206360,BEDFORD JEAN,Chestnut,39,4,"{'79.00': ('07/11/2022', 'WK14NOVMWCLN'), '59.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4151,SCS23CLDFINAL,6/10/2023,206576,COOPER CORD,Navy,39,4,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '59.00': ('03/10/2024', 'SCFINALPPA'), '39.00': ('06/10/2023', 'SCS23CLDFINAL')}"
Menswear,4180,Nothing,16/01/2024,207210,GRAYSON STRAIGH,Lt Wash,39,4,"{'89.00': ('31/08/2023', 'SCS23MSSNEW'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('09/01/2024', 'SCFURTHERMD08012024'), '39.00': ('16/01/2024', 'Nothing')}"
Menswear,4250,SCW24EOSSFURV2,31/05/2024,207428,SSR BOTT LIBERT,Multi,39,4,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '39.00': ('31/05/2024', 'SCW24EOSSFURV2')}"
Menswear,4250,SCW24EOSSFURV2,31/05/2024,207465,SST WYE LIBERTY,Melon,39,4,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '39.00': ('31/05/2024', 'SCW24EOSSFURV2')}"
Menswear,4151,SCS23CLDFINAL,6/10/2023,206576,COOPER CORD,Almond,39,3,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '59.00': ('03/10/2024', 'SCFINALPPA'), '39.00': ('06/10/2023', 'SCS23CLDFINAL')}"
Menswear,4227,SCW24FINALPP,11/04/2024,207289,SST CRAWFORD SH,Navy,39,3,"{'59.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4151,SCS23CLDFINAL,6/10/2023,207363,COOPER CHINO,Smoke Blue,39,3,"{'99.00': ('24/08/2023', 'SCS24MSS'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '39.00': ('06/10/2023', 'SCS23CLDFINAL')}"
Menswear,4262,SCW24EOSSFURPP,20/06/2024,207436,CLASSIC PRINTED,Navy,39,3,"{'79.00': ('28/05/2024', 'SCW24EOSS'), '39.00': ('20/06/2024', 'SCW24EOSSFURPP')}"
Menswear,4227,SCW24FINALPP,11/04/2024,207268G1,SSL LINEN YD SH,Teal,39,3,"{'69.00': ('06/03/2024', 'SCW24MSS'), '49.00': ('13/03/2024', 'SCW24MSSNEWFUR'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Menswear,4227,SCW24FINALPP,11/04/2024,206360,BEDFORD JEAN,Deep Grey,39,2,"{'79.00': ('07/11/2022', 'WK14NOVMWCLN'), '59.00': ('15/09/2023', 'SCS23MSSPP'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
